candidate_id,area_m2,area_km2,equivalent_candidate_patch_diameter_m,equivalent_diameter_m,centroid_lat,centroid_lon,mean_candidate_score,max_candidate_score,mean_ratio_proxy,mean_texture,mean_slope_deg,max_slope_deg,distance_to_nearest_landing_candidate_m,nearest_landing_site_id,route_accessible_yes_no,threshold_stability,mean_uncertainty_score,confidence_score,confidence_level,validation_priority_rank,slope_condition
C-053,9375.0,0.009375,109.25484305920791,109.25484305920791,-87.37866334028057,81.60000904743451,0.7999980449676514,0.874777615070343,1.4528228044509888,0.14519503712654114,2.3299899101257324,3.6580698490142822,948.5383492510991,L-04,needs route check,1.0,0.0,0.8879993743896484,High,1,low mean slope; favorable screening context
C-033,8750.0,0.00875,105.5502061411188,105.5502061411188,-87.44495764387341,80.23058554963879,0.7978206872940063,0.8816025853157043,1.4362939596176147,0.18338093161582947,2.2419257164001465,2.5731451511383057,406.5942419058838,L-02,needs route check,1.0,0.0,0.871302619934082,High,2,low mean slope; favorable screening context
C-043,8750.0,0.00875,105.5502061411188,105.5502061411188,-87.41210196237117,81.0387861879755,0.775698184967041,0.8964940905570984,1.3974170684814453,0.1717217117547989,2.23689341545105,2.5564935207366943,241.34244025738184,L-01,needs route check,1.0,0.0,0.8642234191894531,High,3,low mean slope; favorable screening context
C-007,10000.0,0.01,112.83791670955127,112.83791670955127,-87.05737959476126,79.56530136350935,0.6992507576942444,0.7823752164840698,1.400390863418579,0.1434755176305771,0.9593207240104675,2.3338022232055664,5794.104796310212,L-03,needs route check,0.9609375,0.02881612628698349,0.8610661298334598,High,4,low mean slope; favorable screening context
C-006,10000.0,0.01,112.83791670955127,112.83791670955127,-87.06774204892228,79.49830580526115,0.667952835559845,0.7643704414367676,1.392979383468628,0.1330869048833847,1.9872174263000488,2.4750137329101562,5533.962302865032,L-03,needs route check,1.0,0.0549798458814621,0.8562469227910041,High,5,low mean slope; favorable screening context
C-009,8750.0,0.00875,105.5502061411188,105.5502061411188,-87.3829725156671,78.35802721980792,0.7354375720024109,0.8433535695075989,1.394566535949707,0.1141529232263565,3.8307299613952637,4.331850528717041,2772.873334758053,L-02,needs route check,1.0,0.0,0.8513400230407714,High,6,low mean slope; favorable screening context
C-019,9375.0,0.009375,109.25484305920791,109.25484305920791,-87.145026471948,80.03410280597322,0.6692438721656799,0.7491199970245361,1.3613165616989136,0.13748976588249207,3.071352958679199,4.354031085968018,3052.0052606624236,L-03,needs route check,0.9916666746139526,0.03132059797644615,0.8413593142181635,High,7,low mean slope; favorable screening context
C-027,8125.0,0.008125,101.71072362820549,101.71072362820549,-87.43672716558275,79.84352872045747,0.7512441277503967,0.8672381043434143,1.403936505317688,0.17702600359916687,1.2572503089904785,1.7135846614837646,184.62540036933834,L-02,needs route check,1.0,0.0,0.8403981208801269,High,8,low mean slope; favorable screening context
C-056,8125.0,0.008125,101.71072362820549,101.71072362820549,-87.27742466318684,82.0207962399533,0.7234280109405518,0.8507501482963562,1.3899405002593994,0.26568156480789185,1.627172589302063,2.804224967956543,2089.9343156632895,L-03,needs route check,1.0,0.0,0.8314969635009765,High,9,low mean slope; favorable screening context
C-021,8750.0,0.00875,105.5502061411188,105.5502061411188,-87.09297727803354,80.2738863172876,0.6626710295677185,0.7688538432121277,1.4148056507110596,0.1374005526304245,3.2340567111968994,4.249539375305176,4464.285714285714,L-03,needs route check,0.9821428656578064,0.09748443216085434,0.8147348593771457,High,10,low mean slope; favorable screening context
C-064,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.4476217686028,81.81645901569453,0.7930253744125366,0.8700839281082153,1.4512158632278442,0.33401626348495483,3.8830597400665283,4.431496620178223,821.6789214772402,L-05,needs route check,1.0,0.0,0.8057681198120117,High,11,low mean slope; favorable screening context
C-020,6875.0,0.006875,93.56025796273889,93.56025796273889,-87.14157026597516,80.08765563879143,0.6986330151557922,0.7451375722885132,1.394429087638855,0.13459056615829468,1.9006248712539673,2.49603271484375,3118.940406003031,L-03,needs route check,1.0,0.0,0.7915625648498535,High,12,low mean slope; favorable screening context
C-034,6875.0,0.006875,93.56025796273889,93.56025796273889,-87.38333291570073,80.52946433922403,0.7026692032814026,0.7953341603279114,1.4295371770858765,0.14114528894424438,2.8689990043640137,3.5167596340179443,1353.149066693768,L-01,needs route check,1.0,0.026361308991909027,0.7902180141508579,High,13,low mean slope; favorable screening context
C-039,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.45656972165081,80.68559734811808,0.7896605730056763,0.8519221544265747,1.474238395690918,0.20302413403987885,1.3381446599960327,1.6366373300552368,1114.2351913884222,L-02,needs route check,1.0,0.0,0.7886913833618164,High,14,low mean slope; favorable screening context
C-032,6875.0,0.006875,93.56025796273889,93.56025796273889,-87.40850137602911,80.33409140361752,0.689210832118988,0.8050339818000793,1.34190833568573,0.15077818930149078,3.15388560295105,3.852142572402954,1011.2410548797845,L-02,needs route check,1.0,0.0,0.7885474662780761,High,15,low mean slope; favorable screening context
C-059,5000.0,0.005,79.78845608028654,79.78845608028654,-87.40368598899394,81.85807471394118,0.8336400985717773,0.8844437003135681,1.5210094451904297,0.1604185402393341,2.9376697540283203,3.8124406337738037,607.7703230867726,L-05,needs route check,1.0,0.0,0.7867648315429687,High,16,low mean slope; favorable screening context
C-012,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.04954434854031,79.86540430956522,0.7250775098800659,0.7815741896629333,1.50444495677948,0.14259633421897888,1.649139165878296,1.887222409248352,5888.850694320583,L-03,needs route check,1.0,0.006061249878257513,0.7834186781737953,High,17,low mean slope; favorable screening context
C-062,5000.0,0.005,79.78845608028654,79.78845608028654,-87.40691873656922,81.92374258254729,0.8225793838500977,0.8684244751930237,1.4569249153137207,0.13780471682548523,2.445291519165039,3.0735323429107666,575.0764215519534,L-05,needs route check,1.0,0.0,0.7832254028320312,High,18,low mean slope; favorable screening context
C-035,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.44749864314161,80.45016802565665,0.7678987979888916,0.8544721007347107,1.3982973098754883,0.18968307971954346,1.7451025247573853,5.055276870727539,704.816980008741,L-02,needs route check,1.0,0.0,0.7817276153564453,High,19,low mean slope; favorable screening context
C-060,5000.0,0.005,79.78845608028654,79.78845608028654,-87.36242350609804,82.02476000403783,0.8178149461746216,0.8647186756134033,1.4388256072998047,0.13260553777217865,3.0125298500061035,3.4921910762786865,806.4256107199226,L-04,needs route check,1.0,0.0,0.781700782775879,High,20,low mean slope; favorable screening context
C-015,6875.0,0.006875,93.56025796273889,93.56025796273889,-86.99786586898219,80.18820382154773,0.66060870885849,0.7323850989341736,1.3580492734909058,0.15948285162448883,4.042198657989502,4.915653228759766,7335.533142696808,L-03,needs route check,1.0,0.006471834611147642,0.778747603373602,Medium,21,low mean slope; favorable screening context
C-061,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.41280322834156,81.88065832081092,0.7572949528694153,0.8695791363716125,1.3700745105743408,0.199334517121315,0.8905461430549622,1.59969162940979,405.55555555555554,L-05,needs route check,1.0,0.0,0.7783343849182129,Medium,22,low mean slope; favorable screening context
C-028,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.42603465826011,79.93807557198163,0.7068029642105103,0.7675200700759888,1.3564975261688232,0.19039621949195862,2.9535131454467773,4.026304721832275,358.9219970968627,L-02,needs route check,1.0,0.0,0.7781769485473633,Medium,23,low mean slope; favorable screening context
C-002,5000.0,0.005,79.78845608028654,79.78845608028654,-87.28004378500513,78.58257837395819,0.8052433729171753,0.8755308985710144,1.5201051235198975,0.14306452870368958,4.884143829345703,7.026222229003906,3536.4452932994736,L-03,needs route check,1.0,0.0,0.7776778793334961,Medium,24,low mean slope; favorable screening context
C-055,5000.0,0.005,79.78845608028654,79.78845608028654,-87.38098119480708,81.71281164230992,0.8050523996353149,0.8677915334701538,1.346312165260315,0.199837327003479,1.135329008102417,1.9313665628433228,1041.713019801999,L-04,needs route check,1.0,0.0,0.7776167678833008,Medium,25,low mean slope; favorable screening context
C-044,5000.0,0.005,79.78845608028654,79.78845608028654,-87.41940755759775,81.01452222958603,0.8043878674507141,0.8739455938339233,1.487274169921875,0.148016557097435,2.5137500762939453,3.1993937492370605,126.39842760097928,L-01,needs route check,1.0,0.0,0.7774041175842286,Medium,26,low mean slope; favorable screening context
C-014,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.06831518692104,79.95270626371341,0.753561794757843,0.8661676049232483,1.4738993644714355,0.22767087817192078,2.419590950012207,2.717829704284668,5303.3481446356,L-03,needs route check,1.0,0.008932729251682758,0.7762465013973415,Medium,27,low mean slope; favorable screening context
C-011,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.3664246854511,78.56058696770442,0.7038318514823914,0.7994064688682556,1.3601292371749878,0.17870411276817322,3.717880964279175,3.895219326019287,2911.5653006587368,L-02,needs route check,1.0,0.010351305827498436,0.7761910618916154,Medium,28,low mean slope; favorable screening context
C-045,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.4162767576313,81.10568833592426,0.7459728717803955,0.8332285284996033,1.40938138961792,0.12578469514846802,0.9877365827560425,1.5766096115112305,95.90375834240018,L-01,needs route check,1.0,0.0,0.7747113189697266,Medium,29,low mean slope; favorable screening context
C-047,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.42969515603723,81.23862586533956,0.7005775570869446,0.817721426486969,1.3548028469085693,0.13166381418704987,1.3309770822525024,2.0175187587738037,359.200501113236,L-01,needs route check,1.0,0.027332056313753128,0.773451612636447,Medium,30,low mean slope; favorable screening context
C-024,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.14459992199988,80.41081221383025,0.725680947303772,0.8077159523963928,1.5066684484481812,0.15602678060531616,1.5169392824172974,2.176936149597168,2888.2611497466446,L-03,needs route check,1.0,0.015165322460234165,0.7667013708911836,Medium,31,low mean slope; favorable screening context
C-003,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.0570976256206,79.47677994527658,0.7162392735481262,0.7701138854026794,1.530945062637329,0.13328570127487183,0.5230387449264526,0.9786056876182556,5848.213824602484,L-03,needs route check,1.0,0.0,0.7651965675354004,Medium,32,low mean slope; favorable screening context
C-058,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.4175683464857,81.68899584739218,0.7058974504470825,0.7469529509544373,1.39841890335083,0.1351720690727234,1.5679869651794434,2.0204265117645264,128.04922857351232,L-05,needs route check,1.0,0.0,0.7618871841430664,Medium,33,low mean slope; favorable screening context
C-025,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.424929801392,79.66663685948285,0.6742985844612122,0.7645444273948669,1.3835021257400513,0.14307039976119995,4.3537774085998535,4.574587821960449,574.265835654534,L-02,needs route check,1.0,0.0635913535952568,0.7614164116680622,Medium,34,low mean slope; favorable screening context
C-036,5000.0,0.005,79.78845608028654,79.78845608028654,-87.24194884537943,81.21186625115917,0.7517029643058777,0.7895730137825012,1.3673895597457886,0.18499645590782166,2.433762788772583,2.8746421337127686,546.6517401417469,L-03,needs route check,1.0,0.0,0.7605449485778808,Medium,35,low mean slope; favorable screening context
C-016,5000.0,0.005,79.78845608028654,79.78845608028654,-87.14337830519027,79.70556637595473,0.7468236684799194,0.825488269329071,1.4819920063018799,0.1928107738494873,4.673586845397949,5.4675068855285645,3320.053298706212,L-03,needs route check,1.0,0.0,0.7589835739135742,Medium,36,low mean slope; favorable screening context
C-052,5000.0,0.005,79.78845608028654,79.78845608028654,-87.25905455103037,81.93393454664114,0.7411915063858032,0.7916638255119324,1.411536693572998,0.17661550641059875,0.8186711072921753,0.9694057703018188,1710.6342482395235,L-03,needs route check,1.0,0.0,0.757181282043457,Medium,37,low mean slope; favorable screening context
C-057,5000.0,0.005,79.78845608028654,79.78845608028654,-87.3369269092905,81.89567870004812,0.7401145100593567,0.79300457239151,1.413528323173523,0.14522245526313782,0.8942992091178894,1.4680216312408447,584.433486378048,L-04,needs route check,1.0,0.0,0.7568366432189941,Medium,38,low mean slope; favorable screening context
C-050,5000.0,0.005,79.78845608028654,79.78845608028654,-87.36425825338802,81.50316061292622,0.7295149564743042,0.7929866313934326,1.4391770362854004,0.16042128205299377,4.737296104431152,5.645724773406982,512.6524163602469,L-04,needs route check,1.0,0.009453676640987396,0.7524994184076786,Medium,39,low mean slope; favorable screening context
C-042,5000.0,0.005,79.78845608028654,79.78845608028654,-87.48623394531502,80.74495849654531,0.7256630659103394,0.796635627746582,1.350704312324524,0.2321110963821411,2.1937265396118164,2.994502067565918,1796.5271402416943,L-02,needs route check,1.0,0.0,0.7522121810913086,Medium,40,low mean slope; favorable screening context
C-054,5000.0,0.005,79.78845608028654,79.78845608028654,-87.41684022295088,81.48599618846708,0.7200719714164734,0.8088415265083313,1.3744022846221924,0.18059217929840088,1.907196283340454,2.4177191257476807,271.6414226512591,L-05,needs route check,1.0,0.0,0.7504230308532714,Medium,41,low mean slope; favorable screening context
C-048,5000.0,0.005,79.78845608028654,79.78845608028654,-87.36835354589182,81.4626148302528,0.7144837379455566,0.776758074760437,1.4657666683197021,0.14083363115787506,4.711470603942871,5.186438083648682,644.2352540027595,L-04,needs route check,1.0,0.0,0.7486347961425781,Medium,42,low mean slope; favorable screening context
C-049,5000.0,0.005,79.78845608028654,79.78845608028654,-87.35077155453027,81.5107010501205,0.7123928070068359,0.7967924475669861,1.399577260017395,0.11499029397964478,0.6064684391021729,0.7799144387245178,112.67347735824967,L-04,needs route check,1.0,0.0,0.7479656982421875,Medium,43,low mean slope; favorable screening context
C-041,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.38157351242953,81.08662515033696,0.6674140691757202,0.7893418669700623,1.3544402122497559,0.19964952766895294,2.1113674640655518,3.2692203521728516,1149.0904884373908,L-01,needs route check,1.0,0.033426497131586075,0.7462298524230719,Medium,44,low mean slope; favorable screening context
C-040,11250.0,0.01125,119.6826841204298,119.6826841204298,-87.42587182222192,80.84621410980199,0.8557230234146118,0.9690254926681519,1.4949951171875,0.21324633061885834,17.776716232299805,21.397464752197266,405.88361921329044,L-01,yes,1.0,0.0,0.7448313674926758,Medium,45,steep local context; lower landing/traverse priority
C-022,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.15583101694203,80.20223340753486,0.6792283058166504,0.7795020341873169,1.3841230869293213,0.12956340610980988,3.382081985473633,4.288642406463623,2653.01046099951,L-03,needs route check,0.9861111044883728,0.058353714644908905,0.7447399072945118,Medium,46,low mean slope; favorable screening context
C-008,5000.0,0.005,79.78845608028654,79.78845608028654,-87.00437277277946,79.77206180562928,0.6825146079063416,0.7910463213920593,1.3656761646270752,0.147807314991951,4.21984338760376,4.727921962738037,7256.517813748547,L-03,needs route check,1.0,0.033628709614276886,0.7350418035686016,Medium,47,low mean slope; favorable screening context
C-031,5000.0,0.005,79.78845608028654,79.78845608028654,-87.24210593724804,80.82126876808191,0.6731576919555664,0.7303858995437622,1.4647459983825684,0.12701056897640228,1.7473647594451904,2.097466230392456,151.1673327805978,L-03,needs route check,1.0,0.028606563806533813,0.7325498050451279,Medium,48,low mean slope; favorable screening context
C-023,5000.0,0.005,79.78845608028654,79.78845608028654,-87.23698826722526,80.0367252312185,0.6586024761199951,0.7262089848518372,1.3436164855957031,0.16547757387161255,4.107116222381592,4.168947219848633,1189.8660638912263,L-03,needs route check,1.0,0.030760951340198517,0.7276766972243786,Medium,49,low mean slope; favorable screening context
C-030,6875.0,0.006875,93.56025796273889,93.56025796273889,-87.40722356569793,80.10196686308787,0.6715366244316101,0.8235935568809509,1.3442343473434448,0.14940275251865387,1.9854813814163208,2.511091470718384,940.9337941421156,L-02,needs route check,0.75,0.08878882229328156,0.7240128375887872,Medium,50,low mean slope; favorable screening context
C-017,6875.0,0.006875,93.56025796273889,93.56025796273889,-87.1482424317611,79.94650679305714,0.7656236886978149,0.9532727599143982,1.380522608757019,0.2874765694141388,5.729491710662842,8.853145599365234,3018.0560283206546,L-03,needs route check,1.0,0.0,0.7139995803833008,Medium,51,moderate slope context; review needed
C-046,7500.0,0.0075,97.720502380584,97.720502380584,-87.39930864993113,81.21933580286797,0.6811122894287109,0.8017771244049072,1.3304905891418457,0.1529373973608017,5.561543941497803,5.783565998077393,629.7906673826008,L-01,needs route check,1.0,0.0006194363231770694,0.7028939889848699,Medium,52,moderate slope context; review needed
C-026,5000.0,0.005,79.78845608028654,79.78845608028654,-87.25742738081112,80.46189694130216,0.651563286781311,0.7316036820411682,1.3601657152175903,0.14091196656227112,3.0684077739715576,3.662529945373535,832.0543570735028,L-03,needs route check,0.875,0.09725607186555862,0.6937746445834637,Medium,53,low mean slope; favorable screening context
C-013,5000.0,0.005,79.78845608028654,79.78845608028654,-87.00598410256141,80.08090352861282,0.6143960952758789,0.6387938857078552,1.2997013330459595,0.15798678994178772,2.036370038986206,2.231706142425537,7116.478593948344,L-03,needs route check,0.875,0.10459115356206894,0.6811476351320744,Medium,54,low mean slope; favorable screening context
C-037,5000.0,0.005,79.78845608028654,79.78845608028654,-87.21687547807966,81.28739648417982,0.7991576790809631,0.8648660182952881,1.3680636882781982,0.27335044741630554,7.353898048400879,8.187342643737793,892.503501393692,L-03,needs route check,1.0,0.0,0.6767304573059082,Low,55,moderate slope context; review needed
C-004,6250.0,0.00625,89.20620580763855,89.20620580763855,-87.35123772178625,78.33228297084622,0.7116290330886841,0.7882626056671143,1.444003701210022,0.13501790165901184,7.853569030761719,8.179039001464844,3469.078588040346,L-02,needs route check,1.0,0.04584012180566788,0.6761372784078121,Low,56,moderate slope context; review needed
C-063,10000.0,0.01,112.83791670955127,112.83791670955127,-87.72345576227536,80.85695062186366,0.7351826429367065,0.8411502242088318,1.3919508457183838,0.23002129793167114,12.609016418457031,13.49665641784668,8740.571929585043,L-02,needs route check,1.0,0.0,0.6742584457397461,Low,57,steep local context; lower landing/traverse priority
C-010,5000.0,0.005,79.78845608028654,79.78845608028654,-87.33409885461833,78.58734681680886,0.7323462963104248,0.8212826251983643,1.392566442489624,0.16453373432159424,9.028818130493164,9.851787567138672,3685.8311901794964,L-02,needs route check,1.0,0.0,0.655350814819336,Low,58,moderate slope context; review needed
C-051,5000.0,0.005,79.78845608028654,79.78845608028654,-87.3890312954376,81.44020160498567,0.6987521052360535,0.7681260108947754,1.31504225730896,0.1393042504787445,5.849486351013184,6.26649284362793,1028.8988349201295,L-05,needs route check,1.0,0.0,0.6446006736755371,Low,59,moderate slope context; review needed
C-018,5000.0,0.005,79.78845608028654,79.78845608028654,-87.28872202625024,79.41068251157786,0.6780619025230408,0.7300169467926025,1.380331039428711,0.1412801891565323,7.016072750091553,7.209445476531982,2604.120832929993,L-03,needs route check,1.0,0.0,0.637979808807373,Low,60,moderate slope context; review needed
C-038,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.44337380480127,80.63219210165786,0.8308277130126953,0.8882961273193359,1.3394454717636108,0.27294987440109253,23.512035369873047,24.73196029663086,902.9871552071689,L-02,needs route check,1.0,0.0,0.5928648681640626,Low,61,steep local context; lower landing/traverse priority
C-065,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.79440052414597,82.09787757083001,0.7794984579086304,0.8595634698867798,1.3570657968521118,0.16264525055885315,16.42576026916504,17.16067886352539,11144.108295030072,L-02,needs route check,1.0,0.0,0.5764395065307617,Low,62,steep local context; lower landing/traverse priority
C-029,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.7156004805844,78.73857320522052,0.75523841381073,0.8524121642112732,1.4383716583251953,0.28193533420562744,16.22152328491211,17.442949295043945,8577.779576856461,L-02,needs route check,1.0,0.0,0.5686762924194336,Low,63,steep local context; lower landing/traverse priority
C-001,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.31413929311933,78.46999733182524,0.6917432546615601,0.7946341037750244,1.3839770555496216,0.12143097817897797,10.70478630065918,13.889681816101074,4148.510442181494,L-03,needs route check,1.0,0.005262368358671665,0.5478316046558321,Low,64,steep local context; lower landing/traverse priority
C-005,5625.0,0.005625,84.62843753216345,84.62843753216345,-87.32984497019777,78.4413369264745,0.6852017045021057,0.8061178922653198,1.3960795402526855,0.1499018520116806,14.175182342529297,14.610235214233398,3903.667356110211,L-02,needs route check,0.9861111044883728,0.05286405608057976,0.5382003607302904,Low,65,steep local context; lower landing/traverse priority
